id,host_id,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,yakasi
945067544140406179,523756745,Beyoglu,41.036576127374175,28.975049369037155,Private room,423.0,100,0,No Review,0.0,2,364,0,Avrupa
949078160353932767,78149269,Besiktas,41.06942539939874,29.02611842261506,Entire home/apt,4574.0,100,0,No Review,0.0,1,269,0,Avrupa
949090144002197691,324546198,Sisli,41.10742181409938,28.998929411172867,Private room,419.0,100,0,No Review,0.0,1,269,0,Avrupa
949136617875962353,521815575,Bagcilar,41.04614,28.82374,Private room,548.0,100,0,No Review,0.0,1,269,0,Avrupa
949191965372367592,427485455,Esenyurt,41.010704781594754,28.662396277390123,Entire home/apt,2852.0,100,0,No Review,0.0,1,365,0,Avrupa
949283042298508319,437067478,Besiktas,41.04924354663489,28.997508900000017,Private room,630.0,100,0,No Review,0.0,1,269,0,Avrupa
949289483060761060,426846848,Besiktas,41.0674425,29.0417778,Entire home/apt,3007.0,3,75,2025-09-24,2.88,18,342,40,Avrupa
949319906504308367,529489976,Esenyurt,41.0192243,28.6528847,Entire home/apt,4416.0,100,1,2024-01-01,0.05,1,365,0,Avrupa
949358371062559379,247082762,Atasehir,40.99363564160467,29.077922664745763,Entire home/apt,3000.0,100,34,2024-07-06,1.33,1,270,0,Anadolu
949382705082520908,451034766,Bakirkoy,40.984557,28.7770855,Private room,360.0,100,0,No Review,0.0,1,269,0,Avrupa
949413633299640936,527630162,Fatih,41.02638608005667,28.943177728499265,Private room,450.0,100,0,No Review,0.0,2,269,0,Avrupa
949690572827761664,461864983,Maltepe,40.93522871343514,29.1374396905303,Entire home/apt,2732.0,100,0,No Review,0.0,1,365,0,Anadolu
949719068114619583,484473549,Sisli,41.05422365695456,28.9931772888855,Entire home/apt,2115.0,100,7,2024-03-29,0.28,1,177,0,Avrupa
949729891194796961,498026261,Besiktas,41.05468,29.00724,Private room,697.0,100,0,No Review,0.0,56,269,0,Avrupa
949735942879869929,498026261,Besiktas,41.05468014392098,29.00746181895191,Private room,697.0,100,0,No Review,0.0,56,269,0,Avrupa
949739531614786306,498026261,Besiktas,41.05294637574957,29.007403673869792,Private room,630.0,100,0,No Review,0.0,56,269,0,Avrupa
949838625416986599,21636586,Sisli,41.05701536065849,28.97572403804484,Entire home/apt,3581.0,3,49,2025-09-08,1.92,127,252,23,Avrupa
949878341781494678,372378972,Kadikoy,40.9879518822089,29.030493745066504,Entire home/apt,1300.0,100,12,2024-02-21,0.47,1,132,0,Anadolu
949881220250457521,176191343,Beyoglu,41.02895,28.97973,Private room,2123.0,1,57,2025-09-16,2.21,20,355,27,Avrupa
949891765294671509,447347903,Besiktas,41.04757894944671,29.00506429374218,Entire home/apt,3668.0,1,1,2025-04-13,0.18,4,270,1,Avrupa
949904817524653012,419319204,Kadikoy,40.9923189,29.0264472,Private room,2405.0,1,64,2025-07-21,2.65,15,90,36,Anadolu
949942060632736921,481216905,Atasehir,41.00339801449857,29.07494660553265,Entire home/apt,4565.0,100,0,No Review,0.0,1,365,0,Anadolu
949983243687378410,205947177,Beyoglu,41.03333378491163,28.98441623395787,Entire home/apt,2196.0,2,119,2025-09-15,4.54,1,255,48,Avrupa
941871422947685805,484066092,Esenyurt,41.0599979,28.6673376,Entire home/apt,1425.0,100,1,2023-07-30,0.04,2,364,0,Avrupa
941897064231347870,51929289,Kadikoy,40.98878322472757,29.028796182531828,Private room,1594.0,2,94,2025-09-13,3.53,5,151,44,Anadolu
941958562695647044,405642983,Sisli,41.05715583220627,28.97581245750189,Entire home/apt,4831.0,1,8,2025-09-28,0.36,52,99,4,Avrupa
941963831440870070,390281394,Beyoglu,41.03542110004643,28.9755277946657,Entire home/apt,7698.0,2,113,2025-09-25,4.3,2,114,53,Avrupa
941966594698024650,291024092,Fatih,41.01214237312797,28.97787675261497,Private room,6558.0,1,31,2025-06-22,1.3,31,354,8,Avrupa
941968255189423819,503902116,Esenyurt,41.0169079,28.6828799,Entire home/apt,1412.0,3,20,2025-09-07,0.77,3,21,10,Avrupa
942003216844224879,381949892,Kucukcekmece,40.9945906,28.7954958,Private room,3150.0,100,2,2023-08-08,0.08,8,365,0,Avrupa
942029642714100126,374197400,Beyoglu,41.0355463,28.99065599999999,Entire home/apt,2487.0,100,21,2023-12-31,0.79,4,269,0,Avrupa
942036027470233453,474189573,Fatih,41.02869585759548,28.94666592895353,Private room,6653.0,100,0,No Review,0.0,6,269,0,Avrupa
